Date,TIME,Team A,Goals Scored TA,v,Goals Scored TB,Team B,Match,Tournament,Team A P1,Team A P2,Team A P3,Team A P4,SUB Team A,Team B P1,Team B P2,Team B P3,Team B P4,SUB Team B,
7/3/21,12:30,UAE Polo,8,v,11,Talandracas,L,GCBO,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 6,,Diego Cavanagh 8,Edouard Carmignac 0,Camilo Castagnola 8,Felipe Dabas 6,,
7/3/21,15:30,Monterosso,13,v,10,BP Polo,L,GCBO,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,,Juan Martin Nero 10,Alejandro Muzzio 8,Joevy Beh 3,Dr. James Beh 1,Nicolas Pieres 9 (1st),Andrew Blake Thomas 4 (6th)
7/4/21,12:00,Vikings,8,v,9,Murus Sanctus,L,GCBO,Sebastian Merlos 8,Chris Mackenzie 6,Juan Martin Zubia 8,Siri Bazzoni 0,,Guillermo “Sapo” Caset 9,Corinne Ricard 0,Facundo Sola 8,Matt Perry 5,,
7/4/21,15:00,Park Place,8,v,9,Scone Polo,L,GCBO,Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,,
7/5/21,12:00,Thai Polo NP,13,v,15,King Power,L,GCBO,Nicolas Pieres 9,James Harper 7,Ned Hine 4,Louis Hine 2,,Hilario Ulloa 10,Francisco Elizalde 8,Hugo Lewis 3,Aiyawatt Srivaddhanaprabha 1,,
7/5/21,15:00,UAE POLO POD,9,v,11,Emlor,L,GCBO,Jack Richardson 7,Lucas Monteverde (n) 5,Alfredo Cappella 8,Sam Browne 1,,Max Charlton 6,Alfredo Bigatti 8,Spencer McCarthy 1,Agustín Merlos 7,,
7/6/21,12:00,Great Oaks LL,10,v,8,Talandracas,L,GCBO,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,Diego Cavanagh 8,Edouard Carmignac 0,Camilo Castagnola 8,Felipe Dabas 6,,
7/6/21,15:00,UAE Polo,16,v,12,BP Polo,L,GCBO,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 6,,Juan Martin Nero 10,Alejandro Muzzio 8,Joevy Beh 3,Dr. James Beh 1,Nicolas Pieres 9 (1st),
7/8/21,12:00,Thai Polo NP,9,v,7,Emlor,L,GCBO,Nicolas Pieres 9,James Harper 7,Ned Hine 4,Louis Hine 2,,Max Charlton 6,Alfredo Bigatti 8,Spencer McCarthy 1,Agustín Merlos 7,,
7/8/21,15:00,Park Place,12,v,9,King Power,L,GCBO,Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,,Hilario Ulloa 10,Francisco Elizalde 8,Hugo Lewis 3,Aiyawatt Srivaddhanaprabha 1,,
7/9/21,12:00,UAE POLO POD,10,v,11,Murus Sanctus,L,GCBO,Jack Richardson 7,Lucas Monteverde (n) 5,Alfredo Cappella 8,Sam Browne 1,,Guillermo “Sapo” Caset 9,Corinne Ricard 0,Facundo Sola 8,Matt Perry 5,,
7/9/21,15:00,Vikings,10,v,18,Scone Polo,L,GCBO,Sebastian Merlos 8,Chris Mackenzie 6,Juan Martin Zubia 8,Siri Evjemo - Nyseen 0,,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,Noah Hyde 0 (1st),
7/10/21,15:00,Monterosso,12,v,11,Talandracas,L,GCBO,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,Juan Martin Zubia 8 (6th),Diego Cavanagh 8,Edouard Carmignac 0,Camilo Castagnola 8,Felipe Dabas 6,,
7/11/21,15:00,UAE Polo,14,v,13,Great Oaks LL,L,GCBO,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 6,,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,
7/12/21,12:00,Thai Polo NP,14,v,10,Murus Sanctus,L,GCBO,Nicolas Pieres 9,James Harper 7,Ned Hine 4,Louis Hine 2,,Guillermo “Sapo” Caset 9,Corinne Ricard 0,Facundo Sola 8,Matt Perry 5,Kayley Smith 0 (1st),
7/12/21,12:01,UAE POLO POD,7,v,10,Scone Polo,L,GCBO,Jack Richardson 7,Lucas Monteverde (n) 5,Alfredo Cappella 8,Sam Browne 1,,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,,
7/13/21,12:00,Vikings,8,v,11,King Power,L,GCBO,Sebastian Merlos 8,Chris Mackenzie 6,Juan Martin Zubia 8,Siri Bazzoni 0,,Hilario Ulloa 10,Francisco Elizalde 8,Hugo Lewis 3,Aiyawatt Srivaddhanaprabha 1,,
7/13/21,15:00,Park Place,10,v,9,Emlor,L,GCBO,Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,,Max Charlton 6,Alfredo Bigatti 8,Spencer McCarthy 1,Agustín Merlos 7,,
7/14/21,12:00,UAE Polo,10,v,9,Monterosso,L,GCBO,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 6,,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,Juan Martin Zubia 8 (1st),
7/14/21,15:01,BP Polo,4,v,18,Great Oaks LL,L,GCBO,Juan Martin Nero 10,Alejandro Muzzio 8,Joevy Beh 3,Dr. James Beh 1,Alfredp Bigatti 8 (1st),Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,
7/17/21,12:00,Murus Sanctus,6,v,14,Great Oaks LL,QF,GCBO,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,Guillermo “Sapo” Caset 9,Corinne Ricard 0,Facundo Sola 8,Matt Perry 5,,
7/17/21,15:00,Park Place,9,v,13,UAE Polo,QF,GCBO,Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 6,,
7/18/21,12:00,Scone Polo,14,v,11,Monterosso,QF,GCBO,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,Juan Martin Zubia 8 (1st),
7/18/21,15:00,Thai Polo NP,11,v,10,King Power,QF,GCBO,Nicolas Pieres 9,James Harper 7,Ned Hine 4,Louis Hine 2,,Hilario Ulloa 10,Francisco Elizalde 8,Hugo Lewis 3,Aiyawatt Srivaddhanaprabha 1,,
7/21/21,12:00,Great Oaks LL,10,v,12,UAE Polo,SF,GCBO,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 6,,
7/21/21,16:00,Scone Polo,4,v,12,Thai Polo NP,SF,GCBO,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,,Nicolas Pieres 9,James Harper 7,Ned Hine 4,Louis Hine 2,,
7/25/21,12:00,UAE Polo,7,v,9,Thai Polo NP,F,GCBO,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 6,,Nicolas Pieres 9,James Harper 7,Ned Hine 4,Louis Hine 2,,
